OBS,RESPONSE,GENDER,ACTIVITY,AGE,AGE2
1,1,0,0,58,3364
2,1,1,0,50,2500
3,1,1,0,40,1600
4,1,1,0,36,1296
5,1,1,0,28,784
6,1,1,0,70,4900
7,1,1,0,38,1444
8,1,1,0,45,2025
9,1,0,0,42,1764
10,1,0,1,66,4356
11,1,1,0,41,1681
12,1,1,0,65,4225
13,1,0,0,83,6889
14,1,0,1,40,1600
15,1,1,1,67,4489
16,1,1,1,54,2916
17,1,1,0,67,4489
18,1,1,1,44,1936
19,1,1,0,71,5041
20,1,1,1,68,4624
21,1,1,0,54,2916
22,1,1,1,57,3249
23,1,1,0,37,1369
24,1,1,0,70,4900
25,1,1,1,64,4096
26,1,1,1,41,1681
27,1,1,0,70,4900
28,1,1,1,44,1936
29,1,1,1,39,1521
30,1,1,0,60,3600
31,1,1,0,64,4096
32,1,0,0,85,7225
33,1,1,0,56,3136
34,1,1,0,37,1369
35,1,1,0,67,4489
36,1,1,0,53,2809
37,1,1,0,43,1849
38,1,1,0,41,1681
39,1,1,1,45,2025
40,1,0,0,36,1296
41,1,1,1,63,3969
42,1,1,0,39,1521
43,1,1,0,40,1600
44,1,1,0,68,4624
45,1,1,0,70,4900
46,1,1,0,52,2704
47,1,0,0,50,2500
48,1,1,1,39,1521
49,1,1,1,42,1764
50,1,1,0,44,1936
51,1,1,0,,0
52,1,1,0,34,1156
53,1,1,1,57,3249
54,1,1,0,66,4356
55,1,0,0,76,5776
56,1,1,0,67,4489
57,1,0,0,70,4900
58,1,0,0,48,2304
59,1,1,0,46,2116
60,1,0,0,,0
61,1,1,1,59,3481
62,1,1,0,39,1521
63,1,1,0,44,1936
64,1,1,0,64,4096
65,1,0,0,62,3844
66,1,0,0,51,2601
67,1,1,0,50,2500
68,1,1,1,24,576
69,1,1,1,68,4624
70,1,1,0,40,1600
71,1,1,0,66,4356
72,1,1,1,,0
73,1,0,1,58,3364
74,1,1,0,53,2809
75,1,1,0,54,2916
76,1,1,0,34,1156
77,1,1,0,50,2500
78,1,1,0,,0
79,1,1,0,51,2601
80,1,0,0,34,1156
81,1,1,0,71,5041
82,1,1,1,49,2401
83,1,1,0,33,1089
84,1,1,1,,0
85,1,1,0,36,1296
86,1,1,0,41,1681
87,1,1,1,49,2401
88,1,1,1,40,1600
89,1,1,0,47,2209
90,1,1,0,65,4225
91,1,0,0,33,1089
92,1,0,0,36,1296
93,1,1,0,29,841
94,1,0,0,50,2500
95,1,1,0,49,2401
96,1,1,0,70,4900
97,1,1,0,49,2401
98,1,1,1,43,1849
99,1,1,0,31,961
100,1,1,0,60,3600
101,1,1,1,43,1849
102,1,1,1,43,1849
103,1,1,0,42,1764
104,1,1,1,60,3600
105,1,1,0,57,3249
106,1,1,0,45,2025
107,1,1,1,41,1681
108,1,1,1,39,1521
109,1,1,0,51,2601
110,1,1,0,73,5329
111,1,1,0,59,3481
112,1,0,0,74,5476
113,1,1,0,61,3721
114,1,1,0,55,3025
115,1,1,0,58,3364
116,1,1,1,39,1521
117,1,1,1,62,3844
118,1,0,0,37,1369
119,1,1,0,38,1444
120,1,0,0,31,961
121,1,1,0,40,1600
122,1,1,0,39,1521
123,1,1,1,33,1089
124,1,1,1,50,2500
125,1,1,0,66,4356
126,1,1,1,55,3025
127,1,1,0,40,1600
128,1,0,0,27,729
129,1,1,0,49,2401
130,1,1,1,44,1936
131,1,1,1,,0
132,1,1,0,47,2209
133,1,0,1,44,1936
134,1,1,0,40,1600
135,1,0,0,39,1521
136,1,1,0,55,3025
137,1,0,0,,0
138,1,1,0,62,3844
139,1,1,0,56,3136
140,1,0,0,45,2025
141,1,1,0,41,1681
142,1,1,0,57,3249
143,1,1,0,53,2809
144,1,1,0,40,1600
145,1,1,0,52,2704
146,1,1,1,41,1681
147,1,1,0,31,961
148,1,1,0,41,1681
149,1,1,0,56,3136
150,1,1,0,40,1600
151,1,1,0,41,1681
152,1,1,0,57,3249
153,1,1,0,58,3364
154,1,0,0,38,1444
155,1,1,0,36,1296
156,1,1,0,,0
157,1,0,1,68,4624
158,1,1,0,60,3600
159,1,1,1,25,625
160,1,1,0,41,1681
161,1,0,0,46,2116
162,1,1,0,64,4096
163,1,1,0,48,2304
164,1,1,1,61,3721
165,1,1,0,40,1600
166,1,1,1,70,4900
167,1,1,0,49,2401
168,1,1,0,42,1764
169,1,0,1,63,3969
170,1,0,0,53,2809
171,1,1,1,38,1444
172,1,1,0,54,2916
173,1,1,0,57,3249
174,1,1,1,71,5041
175,1,0,1,59,3481
176,1,0,0,56,3136
177,1,1,0,62,3844
178,1,1,0,59,3481
179,1,1,0,68,4624
180,1,1,1,65,4225
181,1,1,1,44,1936
182,1,1,0,78,6084
183,1,1,0,59,3481
184,1,1,0,40,1600
185,1,1,0,62,3844
186,1,1,0,,0
187,1,1,1,58,3364
188,1,1,0,43,1849
189,1,1,0,62,3844
190,1,1,0,,0
191,1,1,1,47,2209
192,1,1,0,50,2500
193,1,0,0,,0
194,1,1,0,53,2809
195,1,1,0,49,2401
196,1,0,0,63,3969
197,1,1,0,50,2500
198,1,1,0,40,1600
199,1,1,0,43,1849
200,1,1,0,39,1521
201,1,1,0,61,3721
202,1,1,0,52,2704
203,1,1,0,66,4356
204,1,1,0,44,1936
205,1,1,0,40,1600
206,1,1,1,42,1764
207,1,0,0,32,1024
208,1,1,0,32,1024
209,1,1,1,51,2601
210,1,1,1,61,3721
211,1,1,1,54,2916
212,1,0,0,73,5329
213,1,1,0,48,2304
214,1,0,1,29,841
215,1,0,1,42,1764
216,1,1,0,36,1296
217,1,1,0,53,2809
218,1,1,0,25,625
219,1,1,0,69,4761
220,1,1,0,61,3721
221,1,1,1,23,529
222,1,1,0,28,784
223,1,1,1,28,784
224,1,1,0,38,1444
225,1,1,0,29,841
226,1,1,0,49,2401
227,1,0,0,21,441
228,1,1,0,54,2916
229,1,1,0,70,4900
230,1,1,0,51,2601
231,1,0,0,40,1600
232,1,1,0,59,3481
233,1,1,1,23,529
234,1,1,0,57,3249
235,1,1,1,50,2500
236,1,1,0,62,3844
237,1,0,0,59,3481
238,1,1,0,50,2500
239,1,1,0,54,2916
240,1,1,0,54,2916
241,1,0,1,42,1764
242,1,1,0,39,1521
243,1,1,1,44,1936
244,1,1,0,42,1764
245,1,1,0,64,4096
246,1,1,1,54,2916
247,1,1,0,53,2809
248,1,1,0,46,2116
249,1,0,0,19,361
250,1,1,0,43,1849
251,1,1,1,57,3249
252,1,0,0,48,2304
253,1,1,0,58,3364
254,1,1,1,35,1225
255,1,0,0,69,4761
256,1,0,0,42,1764
257,1,0,0,30,900
258,1,0,0,63,3969
259,1,0,1,56,3136
260,1,1,0,34,1156
261,1,0,0,43,1849
262,1,1,0,,0
263,1,0,1,50,2500
264,1,1,0,49,2401
265,1,0,0,69,4761
266,1,1,0,51,2601
267,1,1,0,,0
268,1,0,0,,0
269,1,1,0,53,2809
270,1,0,1,47,2209
271,1,1,0,58,3364
272,1,1,1,64,4096
273,1,0,1,52,2704
274,1,0,0,54,2916
275,1,1,1,30,900
276,1,1,0,36,1296
277,1,1,0,58,3364
278,1,1,1,40,1600
279,1,0,0,67,4489
280,1,1,0,45,2025
281,1,0,0,57,3249
282,1,1,0,68,4624
283,1,1,0,,0
284,1,0,1,42,1764
285,1,1,0,30,900
286,1,1,1,30,900
287,1,1,0,63,3969
288,1,1,0,70,4900
289,1,1,1,74,5476
290,1,1,1,,0
291,1,1,1,62,3844
292,1,1,0,55,3025
293,1,1,0,36,1296
294,1,1,0,60,3600
295,1,0,0,56,3136
296,1,1,1,41,1681
297,1,0,0,,0
298,1,0,0,,0
299,1,1,1,57,3249
