Ano,Empresa,Capital,Trabalho,Producao
1958,3312,61909.5999999602,86.6203281720571,217.346752253458
1959,3312,60864.4999995057,93.4745097124621,241.898573811156
1960,3312,61745.6000005722,97.0799734109177,239.253265884542
1961,3312,61357.2000020749,92.3203648318395,226.333909182516
1962,3312,60652.1999990364,93.9029750466285,225.818032648386
1963,3312,60632.700000974,97.5433025328535,253.180859659292
1964,3312,61864.0000006885,107.999616430665,281.808643103515
1965,3312,63426.7999973913,114.140861725034,306.022139431959
1966,3312,65509.2000016176,112.730587507855,305.883336637983
1967,3312,68162.5999989379,103.640764379542,274.15080593089
1968,3312,70181.89999923,107.058933440914,273.652416657625
1969,3312,71631.6000022448,110.36289280537,277.016343239091
1970,3312,72278.6999976212,102.896562161226,249.606782671319
1971,3312,71832.0999973505,95.1576002297341,243.068979846789
1972,3312,71109.5000004993,103.723217114414,251.236780526707
1973,3312,70793.400000174,116.933006250219,294.788819790769
1974,3312,71251.2000004037,123.86234222962,369.033032967147
1975,3312,71869.3999985056,102.690086514287,258.856154289397
1976,3312,72432.9999976089,111.878018145724,270.594537797488
1977,3312,72697.700003102,114.647392946665,264.205976840103
1978,3312,72665.7999980751,122.383026242176,307.111302717381
1979,3312,72478.4999972117,126.663269511929,312.378357179289
1980,3312,72266.8000002698,107.396551581545,253.353172670759
1981,3312,71952.2999965395,107.227033511069,249.989539985768
1982,3312,70592.0999997681,72.3705770127946,137.717873783455
1983,3312,69011.9000015634,59.6208632007106,139.46041733288
1984,3312,67048.1999992028,61.6033418383175,158.145179337003
1985,3312,65309.1000019615,54.5567382101613,134.36015284613
1986,3312,62539.8000029138,48.4227188380295,128.2586658925
1987,3312,60151.4000013575,48.4240000000297,158.04700000056
1988,3312,58462.499998004,51.6223668838899,189.132104328757
1989,3312,57378.0000012854,49.9280667427095,180.140487164862
1990,3312,56276.6999991701,49.0154337849788,163.916733896928
1991,3312,55541.3999999403,44.0176420443292,126.034750571165
1992,3312,54046.4000024987,44.4403602013727,139.945410561746
1993,3312,52156.200000735,43.6301464497719,147.710031129515
1994,3312,51081.0000005744,44.4385562877758,167.192392282055
1958,3331,596.599999999613,2.20853154610704,5.95873284033288
1959,3331,605.599999998038,1.86828484917664,5.88846515084445
1960,3331,619.500000000497,2.58674853537242,8.50830531771275
1961,3331,639.999999997621,2.50318119010836,7.50262870512311
1962,3331,667.899999998938,2.58188842475243,8.41415950311554
1963,3331,707.099999999862,2.62746309381886,9.62953418852069
1964,3331,726.499999999755,2.58225996144211,8.50450867610815
1965,3331,747.599999998948,2.77644342797415,10.3390707676518
1966,3331,799.700000001724,2.91492670210255,11.4979426497161
1967,3331,938.599999999702,1.87688119794049,8.07981971440148
1968,3331,1038.19999999675,2.43389512218211,12.4408917942217
1969,3331,1136.59999999657,3.14037323306553,20.0624023197325
1970,3331,1276.19999999458,3.29143000947912,17.815899337478
1971,3331,1386.10000000096,2.95604169737601,8.32165134762033
1972,3331,1587.30000000286,3.36942589973402,11.8929519095017
1973,3331,1805.7999999939,3.43051502977792,14.5208206844931
1974,3331,2122.60000000483,3.54086028258129,19.0130643641058
1975,3331,2283.29999999668,3.20755106503286,6.92675982262717
1976,3331,2413.40000000121,3.11388651812425,13.6805614988549
1977,3331,2350.99999999984,2.88643293529298,15.5832913634747
1978,3331,2570.90000000516,2.96882143966963,12.4770956332166
1979,3331,2631.49999998991,2.87894688233532,19.4622154375569
1980,3331,2613.40000001295,2.25720133228144,11.1337135594747
1981,3331,2630.699999991,2.65160396039798,11.2593670982373
1982,3331,2455.20000001098,1.97855369406022,5.15594702285198
1983,3331,2524.89999998786,1.7302306128376,7.39966464566613
1984,3331,2636.7000000034,1.47902750945075,1.93185751785014
1985,3331,2728.39999999846,1.17164453416558,3.4444033385212
1986,3331,2667.40000000455,0.918708182572594,2.00735678008224
1987,3331,2518.20000000604,0.729999999999781,4.43399999998173
1988,3331,2417.29999999503,0.793059443281308,6.97892310088137
1989,3331,2269.30000001004,0.830007415856949,7.78958699369697
1990,3331,2150.49999999185,0.992483861646039,8.23035397465326
1991,3331,2058.59999999494,0.988032848136027,8.1517035859485
1992,3331,2031.19999999905,1.17739588947533,8.00612312505759
1993,3331,2083.29999999097,1.23062136799503,8.33638751095926
1994,3331,2331.80000000189,1.5092949662782,12.5163213718678
1958,3332,16.8000000000132,0.487597873816069,1.30145608966979
1959,3332,17.7000000000038,0.343877856491187,1.13444241316182
1960,3332,18.0999999999678,0.40549031095021,1.40173805768104
1961,3332,20.6999999999726,0.397604747047387,0.999198016493085
1962,3332,25.9000000001167,0.371764647685734,1.09482983401042
1963,3332,30.6999999999033,0.377761060985379,0.839843787369604
1964,3332,33.0000000001162,0.408774742930675,1.56198479006079
1965,3332,37.6000000001561,0.411083280757587,1.72915983175864
1966,3332,54.2000000002385,0.45357401349355,2.06170006133478
1967,3332,92.0999999998838,0.409221638239321,1.4861206862378
1968,3332,142.099999999566,0.477928496719537,1.81435818199059
